scientific_name,common_name_en,category,list_source,project_existing_media_note,iucn_search,gbif_species,morphosource,pbdb_ui,bhl,smithsonian_3d_search,sketchfab_search,xeno_canto,macaulay,notable_curated_count
Mammuthus primigenius,Woolly Mammoth,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Woolly Mammoth""",https://www.iucnredlist.org/search?query=Mammuthus%20primigenius,https://www.gbif.org/species/search?q=Mammuthus%20primigenius,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Mammuthus%20primigenius,https://paleobiodb.org/#/taxon/list?taxon_name=Mammuthus%20primigenius,https://www.biodiversitylibrary.org/search?searchTerm=Mammuthus%20primigenius,https://3d.si.edu/search?q=Mammuthus%20primigenius,https://sketchfab.com/search?q=Mammuthus%20primigenius,,,2
Mammuthus columbi,Columbian Mammoth,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Columbian Mammoth""",https://www.iucnredlist.org/search?query=Mammuthus%20columbi,https://www.gbif.org/species/search?q=Mammuthus%20columbi,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Mammuthus%20columbi,https://paleobiodb.org/#/taxon/list?taxon_name=Mammuthus%20columbi,https://www.biodiversitylibrary.org/search?searchTerm=Mammuthus%20columbi,https://3d.si.edu/search?q=Mammuthus%20columbi,https://sketchfab.com/search?q=Mammuthus%20columbi,,,0
Mammut americanum,American Mastodon,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Mastodon""",https://www.iucnredlist.org/search?query=Mammut%20americanum,https://www.gbif.org/species/search?q=Mammut%20americanum,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Mammut%20americanum,https://paleobiodb.org/#/taxon/list?taxon_name=Mammut%20americanum,https://www.biodiversitylibrary.org/search?searchTerm=Mammut%20americanum,https://3d.si.edu/search?q=Mammut%20americanum,https://sketchfab.com/search?q=Mammut%20americanum,,,0
Smilodon fatalis,Saber-toothed Cat,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Smilodon""",https://www.iucnredlist.org/search?query=Smilodon%20fatalis,https://www.gbif.org/species/search?q=Smilodon%20fatalis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Smilodon%20fatalis,https://paleobiodb.org/#/taxon/list?taxon_name=Smilodon%20fatalis,https://www.biodiversitylibrary.org/search?searchTerm=Smilodon%20fatalis,https://3d.si.edu/search?q=Smilodon%20fatalis,https://sketchfab.com/search?q=Smilodon%20fatalis,,,1
Megatherium americanum,Giant Ground Sloth,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Megatherium""",https://www.iucnredlist.org/search?query=Megatherium%20americanum,https://www.gbif.org/species/search?q=Megatherium%20americanum,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Megatherium%20americanum,https://paleobiodb.org/#/taxon/list?taxon_name=Megatherium%20americanum,https://www.biodiversitylibrary.org/search?searchTerm=Megatherium%20americanum,https://3d.si.edu/search?q=Megatherium%20americanum,https://sketchfab.com/search?q=Megatherium%20americanum,,,0
Coelodonta antiquitatis,Woolly Rhinoceros,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Woolly Rhino""",https://www.iucnredlist.org/search?query=Coelodonta%20antiquitatis,https://www.gbif.org/species/search?q=Coelodonta%20antiquitatis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Coelodonta%20antiquitatis,https://paleobiodb.org/#/taxon/list?taxon_name=Coelodonta%20antiquitatis,https://www.biodiversitylibrary.org/search?searchTerm=Coelodonta%20antiquitatis,https://3d.si.edu/search?q=Coelodonta%20antiquitatis,https://sketchfab.com/search?q=Coelodonta%20antiquitatis,,,1
Aenocyon dirus,Dire Wolf,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Dire Wolf""",https://www.iucnredlist.org/search?query=Aenocyon%20dirus,https://www.gbif.org/species/search?q=Aenocyon%20dirus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Aenocyon%20dirus,https://paleobiodb.org/#/taxon/list?taxon_name=Aenocyon%20dirus,https://www.biodiversitylibrary.org/search?searchTerm=Aenocyon%20dirus,https://3d.si.edu/search?q=Aenocyon%20dirus,https://sketchfab.com/search?q=Aenocyon%20dirus,,,0
Megaloceros giganteus,Irish Elk,Pleistocene Megafauna,unified_priority_csv,Natural History Museum Dublin,https://www.iucnredlist.org/search?query=Megaloceros%20giganteus,https://www.gbif.org/species/search?q=Megaloceros%20giganteus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Megaloceros%20giganteus,https://paleobiodb.org/#/taxon/list?taxon_name=Megaloceros%20giganteus,https://www.biodiversitylibrary.org/search?searchTerm=Megaloceros%20giganteus,https://3d.si.edu/search?q=Megaloceros%20giganteus,https://sketchfab.com/search?q=Megaloceros%20giganteus,,,0
Ursus spelaeus,Cave Bear,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Cave Bear""",https://www.iucnredlist.org/search?query=Ursus%20spelaeus,https://www.gbif.org/species/search?q=Ursus%20spelaeus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Ursus%20spelaeus,https://paleobiodb.org/#/taxon/list?taxon_name=Ursus%20spelaeus,https://www.biodiversitylibrary.org/search?searchTerm=Ursus%20spelaeus,https://3d.si.edu/search?q=Ursus%20spelaeus,https://sketchfab.com/search?q=Ursus%20spelaeus,,,0
Glyptodon spp.,Glyptodon,Pleistocene Megafauna,unified_priority_csv,"Sketchfab ""Glyptodon""",https://www.iucnredlist.org/search?query=Glyptodon%20spp.,https://www.gbif.org/species/search?q=Glyptodon%20spp.,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Glyptodon%20spp.,https://paleobiodb.org/#/taxon/list?taxon_name=Glyptodon%20spp.,https://www.biodiversitylibrary.org/search?searchTerm=Glyptodon%20spp.,https://3d.si.edu/search?q=Glyptodon%20spp.,https://sketchfab.com/search?q=Glyptodon%20spp.,,,0
