scientific_name,common_name,resource_category,title,url,institution,access_license_notes,relevance_to_umwelt
Mammuthus primigenius,Woolly Mammoth,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Mammuthus%20primigenius,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Mammuthus primigenius,Woolly Mammoth,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Mammuthus%20primigenius,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Mammuthus primigenius,Woolly Mammoth,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Mammuthus%20primigenius,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Mammuthus primigenius,Woolly Mammoth,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Mammuthus_primigenius,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Mammuthus primigenius,Woolly Mammoth,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Mammuthus%20primigenius,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Mammuthus primigenius,Woolly Mammoth,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Mammuthus%20primigenius&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Mammuthus primigenius,Woolly Mammoth,occurrence,GBIF backbone taxon (example ID — confirm in UI),https://www.gbif.org/species/4825833,GBIF,Fossil and modern collection records; filter basisOfRecord.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Mammuthus+primigenius&is_real_user=1,Paleobiology Database,CC BY 4.0; backbone for map + deep-time chronobiology framing.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,genomics,NCBI Taxonomy browser,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?name=Mammuthus+primigenius,NCBI,Gateway to nucleotide/SRA records; cite each BioProject’s primary publication.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,paleo_science,"Science — ‘Lifetime mobility of an Arctic woolly mammoth’ (isotope tusk, 2021)",https://www.science.org/doi/10.1126/science.abg1134,AAAS,Core **cited** paper for seasonal movement / sonification of migration legs.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,popular_science,Smithsonian Magazine — popular account of Kik tusk isotope study,https://www.smithsonianmag.com/science-nature/scientists-tracked-movements-17000-year-old-woolly-mammoth-180983064/,Smithsonian,Secondary journalism; link to Science paper for claims.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,genomics,PMC — 3D genome architecture from ancient mammoth skin (Cell lineage),https://pmc.ncbi.nlm.nih.gov/articles/PMC12128189/,NIH / authors,Cutting-edge paleogenomics; label as cited molecular layer.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,genomics,bioRxiv / literature — elephantid genomes & mammoth Arctic adaptations (Lynch et al. lineage),https://www.biorxiv.org/content/10.1101/018366v1,Cold Spring Harbor Laboratory,Preprint or subsequent journal version — confirm final DOI for exhibition.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,museum_data,NHM London — Data Portal (search institutional mammoth records),https://data.nhm.ac.uk/,"Natural History Museum, London",Query portal for specimen metadata; follow dataset licence.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,dataset,GBIF — NHM London collection dataset (occurrence publisher example),https://www.gbif.org/dataset/7e380070-f762-11e1-a439-00145eb45e9a,GBIF / NHM,Large specimen export; attribute NHM + GBIF.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,morphology,MorphoSource — search for published 3D mammoth scans,https://www.morphosource.org/catalog/search?q=mammuthus+primigenius,Duke University / contributors,Per-object CC licences; required for honest ‘mesh source’ strip in WebXR.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,literature,BHL — full-text search (historic steppe / hunt accounts),https://www.biodiversitylibrary.org/search?searchTerm=Mammuthus+primigenius,Biodiversity Heritage Library,Historical illustration and prose for **interpolated** sensory prompts only.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,news,UAF news — university press on mammoth mobility study (outreach),https://uaf.edu/news/study-takes-unprecedented-peek-into-life-of-17000-year-old-mammoth.php,University of Alaska Fairbanks,Outreach summary; cite Wooller et al. Science for methods.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,aggregator,iDigBio portal — specimen search (US digitised collections),https://portal.idigbio.org/search,iDigBio,Filter by scientific name in UI; per-record media rights vary.,Curated lead; verify before production embed.
Mammuthus primigenius,Woolly Mammoth,data_blog,GBIF Data Blog — working with extinct species on GBIF,https://data-blog.gbif.org/post/2024-02-06-working-with-extinct-species-on-gbif/,GBIF,Methodological context for your map / occurrence QA workflow.,Curated lead; verify before production embed.
Mammuthus columbi,Columbian Mammoth,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Mammuthus%20columbi,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Mammuthus columbi,Columbian Mammoth,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Mammuthus%20columbi,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Mammuthus columbi,Columbian Mammoth,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Mammuthus%20columbi,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Mammuthus columbi,Columbian Mammoth,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Mammuthus_columbi,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
